gene,disease
ATP13A2,Neurodegeneration With Brain Iron Accumulation
ATP13A2,Parkinson Disease
ATP1A2,Familial Or Sporadic Hemiplegic Migraine
ATP1A2,Familial Hemiplegic Migraine
ATP1A3,Autosomal Dominant Optic Atrophy Plus Syndrome
ATP1A3,Atp1A3-Associated Neurological Disorder
ATP1B1,Essential Hypertension
ATP5F1A,Combined Oxidative Phosphorylation Deficiency
ATP5F1E,Hereditary Hearing Loss And Deafness
ATP5F1E,Mitochondrial Disease
ATP5F1E,Complex V Deficiency
ATP6V0A2,"Cutis Laxa, Autosomal Recessive"
ATP6V0A4,Inherited Distal Renal Tubular Acidosis
ATP6V0A4,Autosomal Recessive Distal Renal Tubular Acidosis
ATP6V0A4,Distal Renal Tubular Acidosis
ATP6V1B1,Distal Renal Tubular Acidosis
ATP6V1B1,Autosomal Recessive Distal Renal Tubular Acidosis
ATP6V1B1,Inherited Distal Renal Tubular Acidosis
ATPAF2,Complex V Deficiency
ATPAF2,Mitochondrial Disease
ATPAF2,Hereditary Hearing Loss And Deafness
ATRX,Alpha-Thalassemia/Intellectual Disability Syndrome
ATXN2,Parkinson Disease
ATXN3,Parkinson Disease
ATXN8OS,Parkinson Disease
AUH,3-Methylglutaconic Aciduria
AURKA,Neoplasm Of The Large Intestine
AVP,Central Diabetes Insipidus
AVPR2,Nephrogenic Diabetes Insipidus
AXIN2,Neoplasm Of The Large Intestine
B2M,Familial Amyloid Neuropathy
B2M,Mhc Class I Deficiency
B2M,"Amyloidosis, Hereditary Systemic"
B3GALT6,Ehlers-Danlos Syndrome
B3GALT6,Ehlers-Danlos Syndrome Progeroid Type
B4GALT1,Congenital Disorder Of Glycosylation
B4GALT7,Ehlers-Danlos Syndrome
B4GALT7,Ehlers-Danlos Syndrome Progeroid Type
B9D1,Meckel-Gruber Syndrome
B9D2,Meckel-Gruber Syndrome
BAG3,Primary Familial Dilated Cardiomyopathy
BAG3,Cardiomyopathy
BAG3,Myofibrillar Myopathy
BARD1,Malignant Tumor Of Breast
BARD1,Breast Neoplasm
BAX,Neoplasm Of The Large Intestine
BBS10,Bardet-Biedl Syndrome
BBS12,Bardet-Biedl Syndrome
BBS2,Bardet-Biedl Syndrome
BBS5,Bardet-Biedl Syndrome
BBS7,Bardet-Biedl Syndrome
BBS9,Bardet-Biedl Syndrome
BCKDHA,Disorder Of Amino Acid Metabolism
BCKDHA,Disorder Of Organic Acid Metabolism
BCKDHB,Disorder Of Organic Acid Metabolism
BCKDHB,Disorder Of Amino Acid Metabolism
BCL10,Malignant Tumor Of Testis
BCL10,Neoplasm Of The Genitourinary Tract
BCL10,Non-Hodgkin Lymphoma
BCOR,Lenz Microphthalmia Syndrome
BCOR,Anophthalmia-Microphthalmia Syndrome
BCS1L,Mitochondrial Disease
BCS1L,Leigh Syndrome
BCS1L,Hereditary Hearing Loss And Deafness
BEST1,Retinitis Pigmentosa
BIN1,Centronuclear Myopathy
BLM,Ashkenazi Jewish Disorders
BLOC1S3,Hermansky-Pudlak Syndrome
BLOC1S6,Hermansky-Pudlak Syndrome
BMP1,Osteogenesis Imperfecta
BMP2,Hereditary Hemochromatosis
BMP2,"Short Stature, Facial Dysmorphism, And Skeletal Anomalies With Or Without Cardiac Anomalies"
BMP4,Orofacial Cleft
BMPR1B,Short Stature With Nonspecific Skeletal Abnormalities
BMPR1B,Brachydactyly Type A1
BMPR2,Pulmonary Venoocclusive Disease
BMPR2,Primary Pulmonary Hypertension
BMPR2,Idiopathic Pulmonary Arterial Hypertension
BMPR2,Heritable Pulmonary Arterial Hypertension
BMPR2,Idiopathic And/Or Familial Pulmonary Arterial Hypertension
BPTF,Kaposi Sarcoma
BRAF,Familial Atypical Multiple Mole Melanoma Syndrome
BRAF,Neoplasm Of The Large Intestine
BRAF,Rasopathy
BRAF,Familial Melanoma
BRAF,Neoplasm Of Lung
BRAF,Noonan Syndrome With Multiple Lentigines
BRAF,Melanoma
BRAF,Noonan Syndrome
BRAF,Malignant Melanoma Of Skin
BRCA1,Malignant Tumor Of Breast
BRCA1,Breast Neoplasm
BRCA1,Hereditary Breast Ovarian Cancer Syndrome
BRCA2,Hereditary Breast Ovarian Cancer Syndrome
BRCA2,Kidney Wilms Tumor
BRCA2,Fanconi Anemia
BRCA2,Breast Neoplasm
BRCA2,Glioma
BRCA2,Nephroblastoma
BRCA2,Hereditary Wilms Tumor
BRCA2,Malignant Tumor Of Breast
BRCA2,Neoplasm Of The Genitourinary Tract
BRCA2,Prostate Cancer
BRIP1,Malignant Tumor Of Breast
BRIP1,Breast Neoplasm
BRIP1,Fanconi Anemia
BSCL2,Berardinelli-Seip Congenital Lipodystrophy
BSCL2,"Neuronopathy, Distal Hereditary Motor, Type 5"
BSCL2,Congenital Generalized Lipodystrophy
BSND,Bartter Syndrome
BTD,Multiple Carboxylase Deficiency
BTD,Hereditary Hearing Loss And Deafness
BTG4,Inherited Oocyte Maturation Defect
BTK,Idiopathic Growth Hormone Deficiency
BUB1,Neoplasm Of The Large Intestine
BUB1B,Neoplasm Of The Large Intestine
BUB1B,Mosaic Variegated Aneuploidy Syndrome
C1QA,C1Q Deficiency
C1QB,C1Q Deficiency
C1QBP,Combined Oxidative Phosphorylation Deficiency
C1QC,C1Q Deficiency
C1R,"Ehlers-Danlos Syndrome, Periodontitis Type"
C1S,"Ehlers-Danlos Syndrome, Periodontitis Type"
C2,Age-Related Macular Degeneration
C3,Age-Related Macular Degeneration
C3,Hemolytic-Uremic Syndrome
C3,Atypical Hemolytic-Uremic Syndrome
C9,Age-Related Macular Degeneration
CACNA1A,Familial Hemiplegic Migraine
CACNA1A,Familial Or Sporadic Hemiplegic Migraine
CACNA1A,Hereditary Episodic Ataxia
CACNA1C,Brugada Syndrome
CACNA1F,Congenital Stationary Night Blindness
CACNA1F,X-Linked Congenital Stationary Night Blindness
CACNA1H,Idiopathic Generalized Epilepsy
CACNA1H,Absence Seizure
CACNA1S,"Malignant Hyperthermia, Susceptibility To"
CACNA1S,Malignant Hyperthermia
CACNA1S,Rare Disease With Malignant Hyperthermia
CACNA1S,Hypokalemic Periodic Paralysis
CACNB2,Brugada Syndrome
CACNB4,Idiopathic Generalized Epilepsy
CACNB4,Hereditary Episodic Ataxia
CACNB4,Juvenile Myoclonic Epilepsy
CALR,Essential Thrombocythemia
CAPN3,Limb-Girdle Muscular Dystrophy
CAPN3,Autosomal Recessive Limb-Girdle Muscular Dystrophy
CARS2,Combined Oxidative Phosphorylation Deficiency
CARTPT,Obesity
CASK,"Intellectual Disability, Cask-Related, X-Linked"
CASK,Fg Syndrome
CASP10,Neoplasm Of Stomach
CASP10,Non-Hodgkin Lymphoma
CASP10,Autoimmune Lymphoproliferative Syndrome
CASP8,Autoimmune Lymphoproliferative Syndrome
CASP8,Breast Neoplasm
CASP8,Neoplasm Of Lung
CASP8,Malignant Tumor Of Breast
CAV1,Congenital Generalized Lipodystrophy
CAV1,Primary Pulmonary Hypertension
CAV1,Familial Partial Lipodystrophy
CAV1,Idiopathic Pulmonary Arterial Hypertension
CAV1,Berardinelli-Seip Congenital Lipodystrophy
CAV1,Heritable Pulmonary Arterial Hypertension
CAV1,Idiopathic And/Or Familial Pulmonary Arterial Hypertension
CAV3,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
CAV3,Rippling Muscle Disease
CAV3,Long Qt Syndrome
CAV3,Primary Familial Hypertrophic Cardiomyopathy
CAV3,Inherited Rippling Muscle Disease
CAV3,Caveolinopathy
CAV3,Congenital Long Qt Syndrome
CAV3,Cardiomyopathy
CAV3,Limb-Girdle Muscular Dystrophy
CAVIN1,Congenital Generalized Lipodystrophy
CAVIN1,Berardinelli-Seip Congenital Lipodystrophy
CBL,Rasopathy
CBX2,"Pure Gonadal Dysgenesis 46,Xy"
CC2D2A,Coach Syndrome
CC2D2A,Meckel-Gruber Syndrome
CC2D2A,Joubert Syndrome
CCDC134,Osteogenesis Imperfecta
CCDC28B,Bardet-Biedl Syndrome
CCDC39,Primary Ciliary Dyskinesia
CCDC40,Primary Ciliary Dyskinesia
CCDC50,Nonsyndromic Genetic Hearing Loss
CCDC50,Autosomal Dominant Nonsyndromic Hearing Loss
CCDC8,3-M Syndrome
CCDC88C,Congenital Hydrocephalus
CCDC88C,Hydrocephalus
CCM2,Hereditary Cavernous Hemangioma Of Brain
CCND1,Neoplasm Of The Large Intestine
CCNO,Primary Ciliary Dyskinesia
CD19,Common Variable Immunodeficiency
CD2AP,Focal Segmental Glomerulosclerosis
CD2AP,Inherited Focal Segmental Glomerulosclerosis
CD2AP,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
CD2AP,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
CD46,Atypical Hemolytic-Uremic Syndrome
CD46,Hemolytic-Uremic Syndrome
CD81,Common Variable Immunodeficiency
CDAN1,Congenital Dyserythropoietic Anemia
CDC14A,Nonsyndromic Genetic Hearing Loss
CDC14A,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
CDC14A,Hereditary Hearing Loss And Deafness
CDC20,Inherited Oocyte Maturation Defect
CDC45,Meier-Gorlin Syndrome
CDC6,Meier-Gorlin Syndrome
CDCA7,"Centromeric Instability Of Chromosomes 1,9 And 16 And Immunodeficiency"
CDH1,Malignant Tumor Of Breast
CDH1,Neoplasm Of The Genitourinary Tract
CDH1,Breast Neoplasm
CDH1,Endometrial Cancer
CDH1,Ovarian Neoplasm
CDH11,Teebi Hypertelorism Syndrome
CDH23,Usher Syndrome Type 1
CDH23,Usher Syndrome
CDH23,Nonsyndromic Genetic Hearing Loss
CDH23,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
CDIN1,"Congenital Dyserythropoietic Anemia, Type I"
CDIN1,Congenital Dyserythropoietic Anemia
CDK4,Familial Melanoma
CDK4,Melanoma
CDK4,Malignant Melanoma Of Skin
CDK5RAP2,Autosomal Recessive Primary Microcephaly
CDK6,Autosomal Recessive Primary Microcephaly
CDKN2A,Familial Melanoma
CDKN2A,Melanoma
CDKN2A,Familial Atypical Multiple Mole Melanoma Syndrome
CDKN2A,Malignant Melanoma Of Skin
CDSN,Peeling Skin Syndrome
CDT1,Meier-Gorlin Syndrome
CENPE,Autosomal Recessive Primary Microcephaly
CENPF,Primary Ciliary Dyskinesia
CEP135,Autosomal Recessive Primary Microcephaly
CEP152,Autosomal Recessive Primary Microcephaly
CEP250,Cone-Rod Dystrophy And Hearing Loss
CEP290,Bardet-Biedl Syndrome
CEP290,Joubert Syndrome
CEP290,Leber Congenital Amaurosis
CEP290,Meckel-Gruber Syndrome
CEP290,Renal Dysplasia And Retinal Aplasia
CEP57,Mosaic Variegated Aneuploidy Syndrome
CEP78,Cone-Rod Dystrophy And Hearing Loss
CERKL,Retinitis Pigmentosa
CERS3,Congenital Ichthyosis Of Skin
CFAP298,Primary Ciliary Dyskinesia
CFAP300,Primary Ciliary Dyskinesia
CFAP410,Spondylometaphyseal Dysplasia
CFAP410,Type 2 Collagenopathy
CFB,Atypical Hemolytic-Uremic Syndrome
CFB,Hemolytic-Uremic Syndrome
CFB,Age-Related Macular Degeneration
CFC1,Transposition Of The Great Arteries
CFH,Age-Related Macular Degeneration
CFH,Hemolytic-Uremic Syndrome
CFH,Atypical Hemolytic-Uremic Syndrome
CFHR1,Atypical Hemolytic-Uremic Syndrome
CFHR1,Hemolytic-Uremic Syndrome
CFHR1,Age-Related Macular Degeneration
CFHR3,Age-Related Macular Degeneration
CFHR3,Hemolytic-Uremic Syndrome
CFHR3,Atypical Hemolytic-Uremic Syndrome
CFHR4,Hemolytic-Uremic Syndrome
CFI,Hemolytic-Uremic Syndrome
CFI,Atypical Hemolytic-Uremic Syndrome
CFI,Age-Related Macular Degeneration
CFL2,Nemaline Myopathy
CFTR,Bronchiectasis
CFTR,Idiopathic Bronchiectasis
CFTR,Chronic Obstructive Pulmonary Disease
CFTR,Ashkenazi Jewish Disorders
CHD2,Epilepsy With Myoclonic Atonic Seizures
CHD7,Charge Syndrome
CHD7,Hypogonadism With Anosmia
CHD7,Chd7 Disorder
CHEK2,Breast Neoplasm
CHEK2,Neoplasm Of The Genitourinary Tract
CHEK2,Familial Cancer Of Breast
CHEK2,Prostate Cancer
CHEK2,Malignant Tumor Of Breast
CHEK2,Li-Fraumeni Syndrome
CHMP1A,Pontoneocerebellar Hypoplasia
CHRDL1,Megalocornea
CHRNA2,Autosomal Dominant Nocturnal Frontal Lobe Epilepsy
CHRNA2,Sleep-Related Hypermotor Epilepsy
CHRNA2,Familial Sleep-Related Hypermotor Epilepsy
CHRNA4,Familial Sleep-Related Hypermotor Epilepsy
CHRNA4,Sleep-Related Hypermotor Epilepsy
CHRNA4,Autosomal Dominant Nocturnal Frontal Lobe Epilepsy
CHRNA4,Nicotine Dependence
CHRNB2,Autosomal Dominant Nocturnal Frontal Lobe Epilepsy
CHRNB2,Sleep-Related Hypermotor Epilepsy
CHRNB2,Familial Sleep-Related Hypermotor Epilepsy
CIB2,Nonsyndromic Genetic Hearing Loss
CIB2,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
CIB2,Hereditary Hearing Loss And Deafness
CIDEC,Familial Partial Lipodystrophy
CIITA,Mhc Class Ii Deficiency
CISD2,Wolfram Syndrome
CISD2,Nonsyndromic Genetic Hearing Loss
CISD2,Autosomal Dominant Nonsyndromic Hearing Loss 6
CISD2,Autosomal Dominant Nonsyndromic Hearing Loss
CISD2,Hereditary Hearing Loss And Deafness
CLCF1,Cold-Induced Sweating Syndrome
CLCN1,Congenital Myopathy
CLCN2,Idiopathic Generalized Epilepsy
CLCN2,Juvenile Myoclonic Epilepsy
CLCN2,Familial Hyperaldosteronism
CLCN5,Rickets
CLCN5,Hypophosphatemic Rickets
CLCN5,Hereditary Hypophosphatemic Rickets
CLCN5,Dent Disease
CLCN7,Autosomal Dominant Osteopetrosis
CLCNKA,Bartter Syndrome
CLCNKB,Bartter Syndrome
CLDN14,Nonsyndromic Genetic Hearing Loss
CLDN14,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
CLIC2,Anomaly Of Sex Chromosome
CLIC2,X Chromosome Deletion/Duplication
CLMP,Congenital Short Bowel Syndrome
CLN3,Neuronal Ceroid Lipofuscinosis
CLN3,Juvenile Neuronal Ceroid Lipofuscinosis
CLN5,Neuronal Ceroid Lipofuscinosis
CLN6,Neuronal Ceroid Lipofuscinosis
CLN6,Adult Neuronal Ceroid Lipofuscinosis
CLN8,Neuronal Ceroid Lipofuscinosis
CLN8,Juvenile Neuronal Ceroid Lipofuscinosis
CLP1,Pontoneocerebellar Hypoplasia
CLPB,3-Methylglutaconic Aciduria
CLPP,Perrault Syndrome
CLPP,Nonsyndromic Genetic Hearing Loss
CLPP,Hereditary Hearing Loss And Deafness
CLPP,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
CLRN1,Hereditary Hearing Loss And Deafness
CLRN1,Usher Syndrome Type 3
CLRN1,Usher Syndrome
CNGB1,Retinitis Pigmentosa
CNTNAP1,Congenital Hypomyelinating Neuropathy
COA7,"Spinocerebellar Ataxia, Autosomal Recessive, With Axonal Neuropathy"
COCH,Nonsyndromic Genetic Hearing Loss
COCH,Autosomal Dominant Nonsyndromic Hearing Loss
COG1,Congenital Disorder Of Glycosylation
COG4,Congenital Disorder Of Glycosylation
COG5,Congenital Disorder Of Glycosylation
COG6,Congenital Disorder Of Glycosylation
COG7,Congenital Disorder Of Glycosylation
COG8,Congenital Disorder Of Glycosylation
COL11A1,Stickler Syndrome
COL11A1,Hereditary Hearing Loss And Deafness
COL11A2,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
COL11A2,Stickler Syndrome
COL11A2,Autosomal Dominant Nonsyndromic Hearing Loss
COL11A2,Nonsyndromic Genetic Hearing Loss
COL12A1,Ullrich Congenital Muscular Dystrophy
COL12A1,Bethlem Myopathy
COL17A1,Junctional Epidermolysis Bullosa
COL18A1,Knobloch Syndrome
COL1A1,Ehlers-Danlos Syndrome
COL2A1,Familial Avascular Necrosis Of The Femoral Head
COL2A1,Stickler Syndrome
COL2A1,Avascular Necrosis Of The Head Of Femur
COL2A1,Spondylometaphyseal Dysplasia
COL2A1,Hereditary Hearing Loss And Deafness
COL3A1,Familial Aortopathy
COL3A1,Ehlers-Danlos Syndrome
COL4A3,Alport Syndrome
COL4A3,Hereditary Hearing Loss And Deafness
COL4A3,Benign Familial Hematuria
COL4A4,Benign Familial Hematuria
COL4A4,Hereditary Hearing Loss And Deafness
COL4A4,Alport Syndrome
COL4A5,Alport Syndrome
COL4A5,Hereditary Hearing Loss And Deafness
COL5A1,"Ehlers-Danlos Syndrome, Classic Type"
COL5A1,Ehlers-Danlos Syndrome
COL5A2,Ehlers-Danlos Syndrome
COL5A2,"Ehlers-Danlos Syndrome, Classic Type"
COL6A1,Ullrich Congenital Muscular Dystrophy
COL6A1,Collagen 6-Related Myopathy
COL6A1,Congenital Muscular Dystrophy
COL6A1,Bethlem Myopathy
COL6A2,Bethlem Myopathy
COL6A2,Ullrich Congenital Muscular Dystrophy
COL6A3,Ullrich Congenital Muscular Dystrophy
COL6A3,Bethlem Myopathy
COL8A2,Corneal Dystrophy
COL8A2,Corneal Endothelial Dystrophy
COL8A2,Posterior Polymorphous Corneal Dystrophy
COL9A1,Stickler Syndrome
COL9A1,Hereditary Hearing Loss And Deafness
COL9A2,Hereditary Hearing Loss And Deafness
COL9A2,Stickler Syndrome
COL9A3,Stickler Syndrome
COL9A3,Hereditary Hearing Loss And Deafness
COPA,Autoimmune Interstitial Lung Disease-Arthritis Syndrome
COX10,Mitochondrial Disease
COX10,Hereditary Hearing Loss And Deafness
COX10,Leigh Syndrome
COX15,Hereditary Hearing Loss And Deafness
COX15,Mitochondrial Disease
COX6B1,Mitochondrial Disease
COX6B1,Hereditary Hearing Loss And Deafness
COX7B,Linear Skin Defects With Multiple Congenital Anomalies
CPAMD8,Anterior Segment Dysgenesis
CPAP,Autosomal Recessive Primary Microcephaly
CPT1A,Disorder Of Fatty Acid Metabolism
CPT2,Disorder Of Fatty Acid Metabolism
CR2,Systemic Lupus Erythematosus
CR2,Common Variable Immunodeficiency
CRAT,Neurodegeneration With Brain Iron Accumulation
CRB1,Leber Congenital Amaurosis
CRB1,Retinitis Pigmentosa
CRB2,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
CRB2,Focal Segmental Glomerulosclerosis
CRB2,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
CRB2,Inherited Focal Segmental Glomerulosclerosis
CREB3L1,Osteogenesis Imperfecta
CREBBP,Rubinstein-Taybi Syndrome
CREBBP,Menke-Hennekam Syndrome
CRELD1,Familial Atrioventricular Septal Defect
CRLF1,Cold-Induced Sweating Syndrome
CRTAP,Osteogenesis Imperfecta
CRX,Leber Congenital Amaurosis
CRYAB,Primary Familial Dilated Cardiomyopathy
CRYAB,Primary Dilated Cardiomyopathy
CRYAB,Myofibrillar Myopathy
CRYAB,Cardiomyopathy
CSF2RA,Hereditary Pulmonary Alveolar Proteinosis
CSRP3,Cardiomyopathy
CSRP3,Primary Familial Dilated Cardiomyopathy
CST3,Age-Related Macular Degeneration
CST6,Autosomal Recessive Hypohidrotic Ectodermal Dysplasia Syndrome
CSTA,Peeling Skin Syndrome
CSTB,Progressive Myoclonic Epilepsy
CTC1,Coats Plus Syndrome
CTNNB1,Neoplasm Of The Large Intestine
CTNNB1,Ovarian Neoplasm
CTNNB1,Glioma
CTNNB1,Neoplasm Of The Genitourinary Tract
CTSC,"Periodontitis, Aggressive"
CTSC,Chronic Periodontitis
CTSD,Adult Neuronal Ceroid Lipofuscinosis
CTSD,Neuronal Ceroid Lipofuscinosis
CTSF,Adult Neuronal Ceroid Lipofuscinosis
CUL3,Pseudohypoaldosteronism Type 2A
CUL7,3-M Syndrome
CX3CR1,Age-Related Macular Degeneration
CYB5A,Hereditary Methemoglobinemia
CYB5R3,Hereditary Methemoglobinemia
CYBA,Chronic Granulomatous Disease
CYBB,Chronic Granulomatous Disease
CYLD,Familial Multiple Trichoepitheliomata
CYP11B1,Familial Hyperaldosteronism
CYP11B1,Congenital Adrenal Hyperplasia
CYP11B1,Disorder Of Endocrine System
CYP17A1,Disorder Of Endocrine System
CYP17A1,Congenital Adrenal Hyperplasia
CYP1B1,Anterior Segment Dysgenesis
CYP21A2,Disorder Of Endocrine System
CYP21A2,Congenital Adrenal Hyperplasia
CYP2A6,Neoplasm Of Lung
CYP2A6,Nicotine Dependence
CYP2C19,Proton Pump Inhibitor Response
CYP3A4,Proton Pump Inhibitor Response
CYP3A5,Essential Hypertension
CYP4F22,Congenital Ichthyosis Of Skin
DAG1,Autosomal Recessive Limb-Girdle Muscular Dystrophy
DAG1,Limb-Girdle Muscular Dystrophy
DAGLA,Neuroocular Syndrome
DBT,Disorder Of Amino Acid Metabolism
DBT,Maple Syrup Urine Disease
DBT,Disorder Of Organic Acid Metabolism
DCAF8,Giant Axonal Neuropathy
DCC,Neoplasm Of The Large Intestine
DCDC2,Nonsyndromic Genetic Hearing Loss
DCDC2,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
DCDC2,Hereditary Hearing Loss And Deafness
DCHS1,Van Maldergem Syndrome
DCTN1,Amyotrophic Lateral Sclerosis
DCX,Lissencephaly
DCX,Malformation Of Cortical Development
DDB2,Xeroderma Pigmentosum
DEPDC5,Familial Focal Epilepsy With Variable Foci
DES,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
DES,Primary Familial Dilated Cardiomyopathy
DES,Cardiomyopathy
DES,Myofibrillar Myopathy
DES,Limb-Girdle Muscular Dystrophy
DGUOK,Hereditary Hearing Loss And Deafness
DGUOK,Mitochondrial Dna Deletion Syndromes
DGUOK,Mitochondrial Disease
DGUOK,"Portal Hypertension, Noncirrhotic"
DGUOK,Mitochondrial Dna Depletion Syndrome 15 (Hepatocerebral Type)
DHDDS,Retinitis Pigmentosa
DHH,"Pure Gonadal Dysgenesis 46,Xy"
DIABLO,Hereditary Hearing Loss And Deafness
DIABLO,Autosomal Dominant Nonsyndromic Hearing Loss
DIABLO,Nonsyndromic Genetic Hearing Loss
DIAPH1,Nonsyndromic Genetic Hearing Loss
DIAPH1,Autosomal Dominant Nonsyndromic Hearing Loss
DIAPH2,Premature Ovarian Failure
DISC1,Schizophrenia
DKC1,Dyskeratosis Congenita
DLAT,Mitochondrial Disease
DLAT,Leigh Syndrome
DLAT,Pyruvate Dehydrogenase Complex Deficiency
DLAT,Hereditary Hearing Loss And Deafness
DLC1,Neoplasm Of The Large Intestine
DLD,Mitochondrial Disease
DLD,Hereditary Hearing Loss And Deafness
DLD,Pyruvate Dehydrogenase Complex Deficiency
DLD,Leigh Syndrome
DLL3,Autosomal Recessive Spondylocostal Dysostosis
DLST,Paraganglioma
DLX3,Amelogenesis Imperfecta
DMD,Neuromuscular Disease Caused By Qualitative Or Quantitative Defects Of Dystrophin
DMP1,Rickets
DMP1,Hypophosphatemic Rickets
DMP1,Hereditary Hypophosphatemic Rickets
DNAAF1,Primary Ciliary Dyskinesia
DNAAF11,Primary Ciliary Dyskinesia
DNAAF19,Primary Ciliary Dyskinesia
DNAAF2,Primary Ciliary Dyskinesia
DNAAF3,Primary Ciliary Dyskinesia
DNAAF4,Primary Ciliary Dyskinesia
DNAAF6,Primary Ciliary Dyskinesia
DNAH1,Primary Ciliary Dyskinesia
DNAH11,Primary Ciliary Dyskinesia
DNAH5,Primary Ciliary Dyskinesia
DNAI1,Primary Ciliary Dyskinesia
DNAI2,Primary Ciliary Dyskinesia
DNAJB13,Primary Ciliary Dyskinesia
DNAJB2,Charcot-Marie-Tooth Disease
DNAJB6,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
DNAJB6,Limb-Girdle Muscular Dystrophy
DNAJC19,3-Methylglutaconic Aciduria
DNAJC5,Adult Neuronal Ceroid Lipofuscinosis
DNAJC5,Neuronal Ceroid Lipofuscinosis
DNAL1,Primary Ciliary Dyskinesia
DNM2,Centronuclear Myopathy
DNMT3B,"Centromeric Instability Of Chromosomes 1,9 And 16 And Immunodeficiency"
DOCK6,Adams-Oliver Syndrome
DOLK,Congenital Disorder Of Glycosylation
DONSON,Meier-Gorlin Syndrome
DPAGT1,Congenital Disorder Of Glycosylation
DPH1,"Developmental Delay With Short Stature, Dysmorphic Facial Features, And Sparse Hair"
DPH2,"Developmental Delay With Short Stature, Dysmorphic Facial Features, And Sparse Hair"
DPM1,Congenital Disorder Of Glycosylation
DPM3,Congenital Disorder Of Glycosylation
DPP6,Paroxysmal Familial Ventricular Fibrillation
DRC1,Primary Ciliary Dyskinesia
DRC2,Primary Ciliary Dyskinesia
DRC4,Primary Ciliary Dyskinesia
DRD3,Essential Tremor
DRD4,Attention Deficit Hyperactivity Disorder
DRD5,Attention Deficit Hyperactivity Disorder
DSC2,Cardiomyopathy
DSG2,Cardiomyopathy
DSG2,Primary Familial Dilated Cardiomyopathy
DSP,Cardiomyopathy
DTNA,"Myopathy With Myalgia, Increased Serum Creatine Kinase, And With Or Without Episodic Rhabdomyolysis"
DTNBP1,Hermansky-Pudlak Syndrome
DUOX2,Congenital Hypothyroidism
DYM,Smith-Mccort Dysplasia
DYNC1H1,Charcot-Marie-Tooth Disease Type 2
DYNC2H1,Jeune Thoracic Dystrophy
DYNC2H1,"Short Rib-Polydactyly Syndrome, Majewski Type"
DYSF,Autosomal Recessive Limb-Girdle Muscular Dystrophy
DZIP1L,Autosomal Recessive Polycystic Kidney Disease
EARS2,Combined Oxidative Phosphorylation Deficiency
ECE1,Aganglionic Megacolon
ECE1,Essential Hypertension
ECEL1,Distal Arthrogryposis
EDA,Hypohidrotic Ectodermal Dysplasia
EDAR,Hypohidrotic Ectodermal Dysplasia
EDAR,Autosomal Hypohidrotic Ectodermal Dysplasia
